Name,Type,Giver,Location,Material Required 1,Material Amount 1,Material Required 2,Material Amount 2,Material Required 3,Material Amount 3,Caption Start,Caption 2,Caption 3,Caption 4,Caption 5,Caption 6,Caption 7,Caption 8,Caption 9,Caption 10,Caption 11,Caption 12,Caption 13,Caption 14,Caption 15,Caption 16,Caption 17,Caption Complete,Shrine,ID,Menu Order,SortIndex,Type Sort
The Ralis Channel Crystal,Shrine Quest,Mysterious Voice,Ralis Channel,-,-,-,-,-,-,"It seems that you can enter a Shrine of Light if 
you offer up a crystal.

Follow the ray of light, and offer up the crystal
at the shrine.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"After carrying a crystal upstream from Ralis
Channel and offering it up, you can enter the
Shrine of Light.

Enter the shrine in order to acquire the
Light of Blessing.",Joniu Shrine,CarryToShrine08_Zora,098,2693,03
Keys Born of Water,Shrine Quest,Steward Construct,West Necluda,-,-,-,-,-,-,"Near some ruins at the foot of Dueling Peaks,
a Steward Construct said this riddle would guide
you to a sacred shrine:

Give keys born of water to the three altars.
The sacred shrine will appear.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"There were three altars of differing sizes
placed in the ruins. You inserted ice sheets
into the openings in each of them.

A Shrine of Light appeared above the ruins.",Jochisiu Shrine,IceMaking,099,2790,03
The Oakle's Navel Cave Crystal,Shrine Quest,Mysterious Voice,Oakle's Navel Cave,-,-,-,-,-,-,"It seems that you can enter a Shrine of Light if
you offer up a crystal.

Follow the ray of light, and offer up the crystal
at the shrine.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You offered up a crystal and can now enter the
Shrine of Light hidden in Oakle's Navel Cave.

Enter the shrine in order to acquire the
Light of Blessing.",Tokiy Shrine,CarryToShrine13,100,2791,03
Ride the Giant Horse,Shrine Quest,Baddek,Faron Grasslands,-,-,-,-,-,-,"You ran into Baddek, a horse-lover who found
a beautiful crystal in the mountains southwest
of the Faron Grasslands. Baddek said he'll give
the crystal to you if you bring him the giant
horse that's rumored to be in the area.

Ask near Highland Stable east of the grasslands
to see if anyone knows about this giant horse.","Impressed with the giant horse, Baddek gave
you the crystal, which emits a faint light.

The next step is to figure out what the crystal
might be used for.","Baddek gave you a crystal after you brought
him the giant horse. It seems that you can enter
a Shrine of Light if you offer up a crystal.

Follow the ray of light, and offer up the crystal
at the shrine.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You brought the giant horse to Baddek, and he
gave you a crystal in return. You offered up the
crystal and can now enter the Shrine of Light.",Ishokin Shrine,GiantHorse,101,2892,03
The Lake Hylia Crystal,Shrine Quest,Mysterious Voice,Lake Hylia,-,-,-,-,-,-,"It seems that you can enter a Shrine of Light if 
you offer up a crystal.

Follow the ray of light, and offer up the crystal
at the shrine.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You offered up a crystal and can now enter the
Shrine of Light hidden at the bottom of
Lake Hylia.

Enter the shrine in order to acquire the
Light of Blessing.",En-oma Shrine,CarryToShrine06,102,2893,03
Legend of the Soaring Spear,Shrine Quest,Tattered Notebook,Tobio's Hollow Cave,-,-,-,-,-,-,"You found a spring inside Tobio's Hollow Cave.
On the edge of this spring lies a tattered
notebook with the following inscription:

Throw the Zonai spear with a wing from the
pedestal through the ring. Should your aim
be true and right, you'll be blessed with
dispelling light.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You threw a Zonai spear from the pedestal
through the glowing ring.

A Shrine of Light appeared inside the cave.",Utojis Shrine,DevoteSpring,103,2894,03
The Gerudo Canyon Crystal,Shrine Quest,Mysterious Voice,Gerudo Canyon,-,-,-,-,-,-,"It seems that you can enter a Shrine of Light if 
you offer up a crystal.

Follow the ray of light, and offer up the crystal
at the shrine.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You offered up a crystal and can now enter the
Shrine of Light on the river in Gerudo Canyon.

Enter the shrine in order to acquire the
Light of Blessing.",Rakakudaj Shrine,CarryToShrine07,104,2991,03
The North Hyrule Sky Crystal,Shrine Quest,Mysterious Voice,North Hyrule Sky Archipelago,-,-,-,-,-,-,"It seems that you can enter a Shrine of Light if 
you offer up a crystal.

Follow the ray of light, and offer up the crystal
at the shrine.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You offered up a crystal and can now enter the
Shrine of Light in the North Hyrule Sky
Archipelago.

Enter the shrine in order to acquire the
Light of Blessing.",Mayam Shrine,CarryToShrine19,105,3011,03
The South Hyrule Sky Crystal,Shrine Quest,Mysterious Voice,South Hyrule Sky Archipelago,-,-,-,-,-,-,"It seems that you can enter a Shrine of Light if 
you offer up a crystal.

Follow the ray of light, and offer up the crystal
at the shrine.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You offered up a crystal and can now enter the
Shrine of Light in the South Hyrule Sky
Archipelago.

Enter the shrine in order to acquire the
Light of Blessing.",Jinodok Shrine,CarryToShrine11,106,3012,03
The Tabantha Sky Crystal,Shrine Quest,Mysterious Voice,Tabantha Sky Archipelago,-,-,-,-,-,-,"It seems that you can enter a Shrine of Light if 
you offer up a crystal.

Follow the ray of light, and offer up the crystal
at the shrine.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You offered up a crystal and can now enter the
Shrine of Light in the Tabantha Sky
Archipelago.

Enter the shrine in order to acquire the
Light of Blessing.",Ganos Shrine,CarryToShrine20,107,3021,03
The East Hebra Sky Crystal,Shrine Quest,Mysterious Voice,East Hebra Sky Archipelago,-,-,-,-,-,-,"It seems that you can enter a Shrine of Light if 
you offer up a crystal.

Follow the ray of light, and offer up the crystal
at the shrine.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You offered up a crystal and can now enter the
Shrine of Light in the East Hebra Sky
Archipelago.

Enter the shrine in order to acquire the
Light of Blessing.",Taninoud Shrine,CarryToShrine21,108,3022,03
The Sky Mine Crystal,Shrine Quest,Mysterious Voice,Sky Mine,-,-,-,-,-,-,"It seems that you can enter a Shrine of Light if 
you offer up a crystal.

Follow the ray of light, and offer up the crystal
at the shrine.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You offered up a crystal and can now enter the
Shrine of Light at the Sky Mine.

Enter the shrine in order to acquire the
Light of Blessing.",Gikaku Shrine,CarryToShrine14,109,3050,03
The Sokkala Sky Crystal,Shrine Quest,Mysterious Voice,Sokkala Sky Archipelago,-,-,-,-,-,-,"It seems that you can enter a Shrine of Light if 
you offer up a crystal.

Follow the ray of light, and offer up the crystal
at the shrine.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You offered up a crystal and can now enter the
Shrine of Light in the Sokkala Sky Archipelago.

Enter the shrine in order to acquire the
Light of Blessing.",Natak Shrine,CarryToShrine17,110,3051,03
The South Lanayru Sky Crystal,Shrine Quest,Mysterious Voice,South Lanayru Sky Archipelago,-,-,-,-,-,-,"It seems that you can enter a Shrine of Light if 
you offer up a crystal.

Follow the ray of light, and offer up the crystal
at the shrine.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You offered up a crystal and can now enter the
Shrine of Light in the South Lanayru Sky
Archipelago.

Enter the shrine in order to acquire the
Light of Blessing.",Mayanas Shrine,CarryToShrine23,111,3061,03
The North Necluda Sky Crystal,Shrine Quest,Mysterious Voice,North Necluda Sky Archipelago,-,-,-,-,-,-,"It seems that you can enter a Shrine of Light if 
you offer up a crystal.

Follow the ray of light, and offer up the crystal
at the shrine.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You offered up a crystal and can now enter the
Shrine of Light in the North Necluda Sky
Archipelago.

Enter the shrine in order to acquire the
Light of Blessing.",Josiu Shrine,CarryToShrine12,112,3071,03
The West Necluda Sky Crystal,Shrine Quest,Mysterious Voice,West Necluda Sky Archipelago,-,-,-,-,-,-,"It seems that you can enter a Shrine of Light if 
you offer up a crystal.

Follow the ray of light, and offer up the crystal
at the shrine.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You offered up a crystal and can now enter the
Shrine of Light in the West Necluda Sky
Archipelago.

Enter the shrine in order to acquire the
Light of Blessing.",Ukoojisi Shrine,CarryToShrine22,113,3072,03
The Necluda Sky Crystal,Shrine Quest,Mysterious Voice,Necluda Sky Archipelago,-,-,-,-,-,-,"It seems that you can enter a Shrine of Light if 
you offer up a crystal.

Follow the ray of light, and offer up the crystal
at the shrine.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You offered up a crystal and can now enter the
Shrine of Light in the Necluda Sky Archipelago.

Enter the shrine in order to acquire the
Light of Blessing.",Kumamayn Shrine,CarryToShrine05,114,3073,03
Spotting Spot,Side Quest,Lester,Lookout Landing,-,-,-,-,-,-,"Lester, who manages the stable at Lookout
Landing, told you his beige, dappled horse,
Spot, ran away.

Spot is supposedly timid though, so he may
still be close by.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You brought the beige, dappled Spot to Lester.
The swift carrot he gave you in return is a
specialty crop of Kakariko Village, located
in Necluda to the southeast.",-,FindWhiteHorse,115,5111,04
Village Attacked by Pirates,Side Quest,Garini,Lookout Landing,-,-,-,-,-,-,"Mubs and Garini's hometown, Lurelin Village,
was attacked by pirates. The village is at the
edge of East Necluda in the southeast. There
are no neighboring villages to flee to, so they're
concerned about the safety of the villagers. 

If you find Rozel, the head of the village, he
should know more.","Rozel, the head of Lurelin Village, let you know
about the villagers. It turns out that although
the village was attacked by pirates, everyone
was able to flee to safety. You should let Mubs
and Garini at Lookout Landing know.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Garini and Mubs feel relieved knowing that all of
the villagers from Lurelin Village are safe.

It turns out they have a shop there as well.",-,NowInTheVillageOfLurelin,116,5112,04
Today's Menu,Side Quest,Burmano,Lookout Landing,Apple,1,-,-,-,-,"Burmano, the cook in the Lookout Landing
Emergency Shelter, wants to energize folks and
cheer them up with his fruit and mushroom mix.

But he's missing an apple, a key ingredient.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Burmano the cook whipped up his special fruit
and mushroom mix and gave some to you as a
reward for providing the needed apple.
Apparently, this dish can be made with an
apple, a mushroom, and a pot.",-,CookAtBaseCamp,117,5113,04
The Incomplete Stable,Side Quest,Karson,Lookout Landing,-,-,-,-,-,-,"Lester, the horse guard, is at a loss because
he can't take horses until the stable is ready.

Karson has been trying to build a stable, but he
is struggling to figure out how to fit the final
roof plank.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Delighted by the roof's completion, Karson
finished the stable with incredible skill. Now
you can board horses at Lookout Landing.

Talk to Lester if you have any
horse-related business.",-,BuildingMaterialsTutorial,118,5114,04
WANTED: Stone Talus,Side Quest,Gralens,Emergency Shelter,-,-,-,-,-,-,"Gralens of the monster-control crew at
Lookout Landing told you that the team
discovered a Stone Talus.

This huge boulder-like monster was spotted
at North Akkala Foothill in Akkala.","Gralens of the monster-control crew in
Lookout Landing told you about a Stone Talus.

You defeated it at North Akkala Foothill.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You reported your victory over the Stone Talus
at North Akkala Foothill to Gralens at
Lookout Landing.",-,DefeatHugeEnemy_1,119,5115,04
WANTED: Molduga,Side Quest,Gralens,Emergency Shelter,-,-,-,-,-,-,"Gralens of the monster-control crew at
Lookout Landing keyed you in on the
location of a Molduga.

The research division at the East Barrens
spotted the huge monster swimming
in the sand in the Gerudo Desert.","Gralens of the monster-control crew at
Lookout Landing told you about the sand-
swimming Molduga.

You defeated it in the East Barrens, located in
the Gerudo Desert.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You reported your victory over the Molduga in
the East Barrens within Gerudo Desert to
Gralens at Lookout Landing.",-,DefeatHugeEnemy_2,120,5116,04
WANTED: Hinox,Side Quest,Gralens,Emergency Shelter,-,-,-,-,-,-,"Gralens of the monster-control crew at
Lookout Landing told you that the team
discovered a Hinox.

This giant cyclops with incredible strength
dwells around Trilby Plain near Woodland
Stable northeast of Hyrule Field.","Gralens of the monster-control crew at
Lookout Landing told you about a Hinox.

You defeated it around Trilby Plain northeast
of Hyrule Field.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You reported your victory over the Hinox around
Trilby Plain to Gralens at Lookout Landing.",-,DefeatHugeEnemy_3,121,5117,04
Unknown Sky Giant,Side Quest,Gralens,Emergency Shelter,-,-,-,-,-,-,"Gralens of the monster-control crew at Lookout
Landing told you they discovered a mysterious
monster in the West Hebra Sky Archipelago.

When they looked toward the sky from the
Hebra Mountains, they spotted what looked
like a mass of rocks in the shape of a giant
moving around through a gap in the clouds.","Gralens of the monster-control crew at
Lookout Landing told you about a mysterious
monster, which you've learned was a
Flux Construct.

You defeated it on the West Hebra Sky
Archipelago in Hebra.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You reported your victory over the
Flux Construct on the West Hebra Sky
Archipelago to Gralens at Lookout Landing.",-,DefeatHugeEnemy_4,122,5118,04
Unknown Three-Headed Monster,Side Quest,Gralens,Emergency Shelter,-,-,-,-,-,-,"Gralens of the monster-control crew at
Lookout Landing told you that a traveler
was attacked by a three-headed monster at
the Bridge of Hylia in Faron.

He wants to defeat it to ensure the traveler's
safety, but he and the monster-control crew
can't get close to it.","Gralens of the monster-control crew at
Lookout Landing told you about a three-headed
monster, which you've learned was a Gleeok.

You defeated it at the Bridge of Hylia in Faron.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You reported your Gleeok victory at the Bridge
of Hylia to Gralens at Lookout Landing.",-,DefeatHugeEnemy_5,123,5119,04
Unknown Huge Silhouette,Side Quest,Gralens,Emergency Shelter,-,-,-,-,-,-,"Gralens of the monster-control crew at
Lookout Landing told you the team discovered
a massive silhouette in the Depths.

He said that something was wriggling in the
dark and then opened its gaping maw as if to
swallow them whole.","Gralens of the monster-control crew at
Lookout Landing told you about the massive
silhouette, which you learned was a Frox.

You successfully defeated it.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You reported your victory over the silhouetted
monster in the Depths, called the Frox, to
Gralens at Lookout Landing.",-,DefeatHugeEnemy_6,124,5120,04
The Horse Guard's Request,Side Quest,Toffa,Outskirt Stable,-,-,-,-,-,-,"Toffa, the horse guard at Outskirt Stable, is
eager to see a skeletal horse he's heard about.

It's rumored that they appear at night in Sanidin
Park Ruins, north of the stable. You'll know
them from the horse statue amid the ruins.","When Toffa was young, he went into the forest
to try to tame bears and deer but always failed.

Now he wants to see a tamed creature that
isn't a horse.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Toffa was overjoyed that you showed him so
many marvelous creatures, fulfilling his dearest
wish. He's resolved to live a long life so he
can learn about more extraordinary horses.",-,TakeAnimals,125,5151,04
A Picture for Outskirt Stable,Side Quest,Embry,Outskirt Stable,-,-,-,-,-,-,"Embry, the owner of Outskirt Stable, wants
to hang a picture of a special, mystical
cherry-blossom tree that can be found on
Satori Mountain, northwest of the stable.

Maybe there's a way to take a picture of it and
show it to Embry.","Embry, the owner of Outskirt Stable, is pleased
to have a painting of the cherry-blossom tree
hung up at his establishment.

He was going to give you a reward, but your
inventory was full. Be sure to trim your
belongings before you accept his gift.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Embry, the owner of Outskirt Stable, is pleased
to have a painting of the cherry-blossom tree
hung up at his establishment.

Still, he's happy to replace it with a different
picture of the tree. Just show him a new image 
and he'll make a copy to put on display.",-,PhotoSpot_Challenge_04,126,5152,04
Feathered Fugitives,Side Quest,Teli,Riverside Stable,-,-,-,-,-,-,"Teli lost five Cuccos. He has to find them all
and get them back inside the fence before the
stable staff find out what he's done.

You've returned of them.","Teli was scrambling to find five missing Cuccos.
You searched the stable, found the Cuccos,
and put them all back inside the fence.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Teli was relieved to see that the five Cuccos
he'd lost were back inside the fence. He gave
you 100 rupees to keep quiet about the
Cuccos going missing.",-,HorseInnChallenge005,127,5161,04
A Picture for Riverside Stable,Side Quest,Ember,Riverside Stable,-,-,-,-,-,-,"Ember, the owner of Riverside Stable, wants to
hang a painting of a Great Goddess Statue on
the wall of his establishment. These statues are
said to be enshrined across Hyrule.

Maybe there's a way to take a picture of one
and show it to Ember.","Ember, the owner of Riverside Stable, is
pleased to have a painting of a Great Goddess
Statue hung on his establishment's wall.

He was going to give you a reward, but your
inventory was full. Be sure to trim your
belongings before you accept his gift.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ember, the owner of Riverside Stable, is
pleased to have a painting of a Great Goddess
Statue hung on his establishment's wall.

Still, he's happy to replace it with a different
picture of one of the statues. Just show him an
image, and he'll make a copy to put on display.",-,PhotoSpot_Challenge_05,128,5162,04
Horse-Drawn Dreams,Side Quest,Zumi,New Serenne Stable,-,-,-,-,-,-,"Zumi is hoping to repair a busted wagon, but
she doesn't have wheels she can attach to it or
a horse to pull it.

There are building materials at the stable and
some wild horses in the area, but if she's going
to finish this project, she'll need a helping hand.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Zumi's dream of a horse-drawn wagon once
looked hopeless—she didn't have wheels, or
even a horse. But you repaired the wheels and
caught a horse, resulting in a horse-drawn
wagon she can feel proud to own.

This wagon she dubbed ""Zunk,"" a combination
of your name and hers.",-,HorseInnChallenge001,129,5171,04
A Picture for New Serenne Stable,Side Quest,Sprinn,New Serenne Stable,-,-,-,-,-,-,"Sprinn, the owner of New Serenne Stable,
wants to decorate his establishment with a
painting of a geoglyph. They've appeared all
over Hyrule. In fact, one can be found
very near the stable.

Maybe there's a way to show a picture of
one to Sprinn.","Sprinn, owner of New Serenne Stable, is
pleased to have a painting of a geoglyph hung
on his establishment's wall.

He was going to give you a reward, but your
inventory was full. Be sure to trim your
belongings before you accept his gift.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Sprinn, owner of New Serenne Stable, is
pleased to have a painting of a geoglyph
hung on his establishment's wall.

Still, he's happy to replace it with a different
picture of a geoglyph. Just show him a new
image, and he'll make a copy to put on display.",-,PhotoSpot_Challenge_01,130,5172,04
Genli's Home Cooking,Side Quest,Genli,Rito Village,Staminoka Bass,1,-,-,-,-,"Genli has a passion for culinary research. She
wants to make a fish pie to help everyone feel
better from the inside out, but she can't get her
hands on any staminoka bass.","You gave the staminoka bass to Genli, and
she's delighted now that she can make fish pie.

She wanted to reward you, but your pouch was
full, so she asked you to come back after you
sort your things.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You gave the staminoka bass to Genli. She is
thrilled now that she can make fish pie to cheer
everyone up. As a reward, she gave you some
biting simmered fruit made with ice fruit.",-,Genkos_Kitchen,131,5210,04
Treasure of the Secret Springs,Side Quest,Tulin,Rito Village,-,-,-,-,-,-,"""Sturnida, Goflam's, and Sherfin's. Hidden
treasure sleeps in the center of the three secret
hot springs in the mountains. Guide the three
waters to that place. When it fills, the
slumbering treasure will awaken once more.""
The Sturnida secret hot spring is northwest of
Rito Village, but just where could the treasure
mentioned in the book be hidden?",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""Sturnida, Goflam's, and Sherfin's. Hidden
treasure sleeps in the center of the three secret
hot springs in the mountains. Guide the three
waters to that place. When it fills, the
slumbering treasure will awaken once more.""
You filled the cave in the center of the three
secret hot springs with water and found the
Vah Medoh Divine Helm at the end of the path.",-,Rito_MedoArmor,132,5211,04
Molli the Fletcher's Quest,Side Quest,Molli,Rito Village,Ice Fruit / White Chuchu Jelly,1,-,-,-,-,"Molli has an idea for a new way to use ice fruit.
But she doesn't have the ice fruit she needs to
implement her plan.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Molli was overjoyed to get what she needed
and gave you some wooden arrows in return.
Now she can craft arrows that freeze monsters!

She's determined to come up with more ideas
for new arrows and become a great fletcher for
her father and townspeople.",-,ArrowMeister_Momo,133,5213,04
Legacy of the Rito,Side Quest,Teba,Rito Village,Wood,5,Diamond,3,-,-,"Having bequeathed his beloved bow to Tulin,
Teba says he intends to craft a new Great
Eagle Bow for himself. He's willing to make one
for you as well, if you collect all the necessary
materials.

He will need a swallow bow, five bundles of
wood, and three diamonds.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You collected a swallow bow, five bundles of
wood, and three diamonds and brought them
all to Teba. As promised, he crafted a Great
Eagle Bow with them and gave it to you.

If your Great Eagle Bow breaks, he can remake
it so long as you collect the materials again.",-,Rito_RevaliWeapon,134,5214,04
Fish for Fletching,Side Quest,Bedoli,Rito Village,Glowing Cave Fish,3,-,-,-,-,"Bedoli is struggling due to the lack of food
around Rito Village. She's offered you a trade:
bring her three glowing cave fish, which can be
caught in caves, and she'll give you 10 arrows.

It couldn't hurt to keep an eye out for the fish
during your travels.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You gave Bedoli three glowing cave fish and
received 10 arrows in return. She offered to
expand the agreement as well—now she'll offer
arrows not just for glowing cave fish, but also
for the chillfin trout and brightcaps that the Rito
children crave.",-,Rito_ItemExchange,135,5215,04
The Rito Rope Bridge,Side Quest,Gesane,Lucky Clover Gazette,Wood,20,-,-,-,-,"Gesane and Juannelle are in a bind as they
want to repair the rope bridge destroyed in the
blizzard but can't find anyone skilled in
construction. However, they say there is a
skilled carpenter at Lookout Landing.

Apparently, this person's name ends in ""son.""","The skilled carpenter at Lookout Landing was
Karson. You explained the situation to him, and
he enthusiastically agreed to help and hurried
off to the job site.

Time to report to Juannelle and Gesane.","Karson arrived at the work site, but there isn't
enough wood for the project.

Repairing the broken bridge will require a total
of 20 pieces of wood. Gather some wood.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You handed the wood over to Karson, and he
repaired the broken bridge. Juannelle and
Gesane were relieved and returned to their
posts.",-,RitoBridgeRepair,136,5226,04
A Picture for Tabantha Bridge Stable,Side Quest,Dabi,Tabantha Bridge Stable,-,-,-,-,-,-,"Dabi, the owner of Tabantha Bridge Stable, 
wants to decorate his establishment with a
painting of the Ancient Columns at sunrise.
The columns can be found on the top of the
cliff across Tabantha Great Bridge.

Maybe there's a way to take a picture of them
and show it to Dabi.","Dabi, the owner of Tabantha Bridge Stable,
is pleased to have a painting of the
Ancient Columns at sunrise hung on
the establishment's wall.

He was going to give you a reward, but your
inventory was full. Be sure to trim your
belongings before you accept his gift.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Dabi, the owner of Tabantha Bridge Stable,
is pleased to have a painting of the
Ancient Columns at sunrise hanging
in his establishment.

Still, he's happy to replace it with a different
picture of the same scenery. Just show him a
new image and he'll make a copy to display.",-,PhotoSpot_Challenge_07,137,5251,04
A Picture for Snowfield Stable,Side Quest,Varke,Snowfield Stable,-,-,-,-,-,-,"Varke, the owner of Snowfield Stable, wants to
hang up a painting of ""the giant bird with wings
stretched wide"" in the Hebra Mountains.
It's said this bird can be seen when looking
northwest from the lone cedar tree on Talonto
Peak when it isn't snowing. Maybe there's a
way to take a picture of it and show it to Varke.","Varke, owner of Snowfield Stable, is pleased to
have hung up a painting of ""the giant bird with
wings stretched wide,"" which can be seen in
the Hebra Mountains when it's not snowing.

He was going to give you a reward, but your
inventory was full. Be sure to trim your
belongings before you accept his gift.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Varke, owner of Snowfield Stable, is pleased to
have hung up a painting of ""the giant bird with
wings stretched wide,"" which can be seen in
the Hebra Mountains when it's not snowing.

Still, he's happy to replace it with a different
picture of the same scenery. Just show him a
new image and he'll make a copy to display.",-,PhotoSpot_Challenge_14,138,5261,04
Crossing the Cold Pool,Side Quest,Verla,Hebra Mountains,Chillshroom,10,-,-,-,-,"Verla came to Talonto Peak Cave to collect 10
chillshrooms, only to find that cold water had
accumulated inside.

With his wing still injured from a fight with
monsters, Verla has no way to cross the pool.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"When you gave Verla the 10 chillshrooms, he
gave you a purple rupee as a reward. Verla was
relieved to be able to return to the village with
head held high.",-,Neck_IceWaterCave,139,5291,04
Open the Door,Side Quest,Jogo,Tabantha Village Ruins,-,-,-,-,-,-,"You heard a man and a woman talking inside a
cabin. Apparently, they're concerned about the
monsters outside and are hesitant to open up
the door.

It seems like the door will stay closed as long
as they can hear the monsters.","You heard a man and a woman talking inside
a cabin. They were troubled by the sounds of
surrounding monsters and didn't want to open
the door, so you dispatched all the monsters
near the cabin.","Jogo and Yammo inside the cabin say they want
to give you some spicy elixir as thanks for
defeating the monsters outside the cabin, but
you couldn't take the reward because your
pouch was full.

Organize your things, and then check in with
them again.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Inside a cabin were a couple of travelers, Jogo
and Yammo. They were on their way to see a
legendary shield surfer but were waylaid by
monsters. For defeating the monsters, they
rewarded you with a spicy elixir.

They will also give you a shield for shield surfing
as a reward for helping them.",-,Lodge_Chemical001,140,5292,04
Supply-Eyeing Fliers,Side Quest,Huck,Tabantha Frontier,-,-,-,-,-,-,"Huck was transporting supplies from Snowfield
Stable to Rito Village when he was beset by
monsters.

Now the monsters are circling above him,
greedily eyeing the supplies.","You defeated the monsters, clearing the way
for Huck to transport the supplies.

Report to Huck and give him the good news.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You let Huck know that you defeated the
monsters. Relieved that he could finally take
Snowfield Stable's donation to Rito Village,
he gave you a purple rupee for your efforts.",-,Hack_GuardGoods,141,5293,04
The Blocked Cave,Side Quest,Mazli,Hebra Mountains,-,-,-,-,-,-,"Mazli was hauling food supplies out of a cave
when a cave-in blocked the entrance, keeping
him out.

Perhaps you could do something to help him...",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You cleared a path through the rocks blocking
the cave's entrance. Relieved to have access
again, Mazli gave you a red rupee.",-,Nazley_DigCave,142,5294,04
The Duchess Who Disappeared,Side Quest,Russ,Selmie's Spot,-,-,-,-,-,-,"Former pro shield surfer Selmie has gone
missing after leaving her lodge to create a new
shield-surfing course. Her student Russ says
his buddy Fin is searching for Selmie on the
Biron Snowshelf to the west. 

Meet up with Fin there. You can find him by
looking for his smoke signals.","Former pro shield surfer Selmie has gone
missing after leaving her lodge to create a new
shield-surfing course. Her student Fin is looking
for her on the Biron Snowshelf and said that her
shield-surfing tracks come to an end nearby.

Where could Selmie be?","While trying to develop a new course for shield
surfing, Selmie went into a cave and found that
she couldn't get back out through the entrance.
She's trapped in the cave.

Find some way to get Selmie out.","You dug through the rocks deep inside the cave
and created a way for Selmie to get out. She
was able to return to her students and wants to
thank you at her lodge. You should be able to
find it northwest of Hebra Peak.

Look for the bonfire she keeps burning in front
of the lodge.",-,-,-,-,-,-,-,-,-,-,-,-,-,"You went to Selmie's lodge in the vicinity of
Hebra Peak, where Selmie offered a word of
thanks and gave you a reward. She also
accepted you as her third student and said to
visit anytime you want to shield surf.",-,GoneSnowQueen,143,5295,04
Kaneli's Flight Training,Side Quest,Kaneli,Flight Range,-,-,-,-,-,-,"At the Flight Range, Kaneli has set up a new
training course where trainees will fly through
rings floating in the sky.

Before he can open it up to trainees, he needs
a brave volunteer to go for a test run on the
new course.","You're trying Kaneli's new training course!
Go through as many floating rings as you can
before time runs out.

You need to go through 15 to pass, and you
will be disqualified if you leave the Flight Range
during training.","Attempt Kaneli's new training course. It seems
you need to go through 15 rings to pass.

Kaneli says he will give you a reward if you pass
with flying colors.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"You went through enough rings to pass Kaneli's
training course. As the first to attempt the
course and post a score, you've inspired young
Rito to try it as well.

Kaneli says that you can come back and try
flight training again whenever you like.",-,Hebra_SkyRingChallenge,144,5296,04
